igr,municipio,situacao,fonte_referencia,observacao_igr
Caminhos do Contestado,Três Barras,IGR/região turística,https://www.facebook.com/caminhoscontestado/; https://www.jmais.com.br/igr-caminhos-do-contestado-define-acoes-para-fortalecer-turismo-ate-2026/; https://amplanorte.org.br/noticia-588461/,Composição atual adotada: 14 municípios; listas legais/históricas de 13 omitem Caçador.
Costa Verde & Mar,Balneário Camboriú,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Balneário Piçaras,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Bombinhas,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Camboriú,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Ilhota,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Itajaí,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Itapema,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Navegantes,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Penha,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Costa Verde & Mar,Porto Belo,IGR/região turística,https://citmar.sc.gov.br/municipios-consorciados/; https://citmar.sc.gov.br/nova-diretoria-do-colegiado-de-turismo-busca-ampliar-a-divulgacao-da-costa-verde-mar-e-atrair-mais-visitantes/; https://bombinhas.sc.gov.br/costa-verde-mar-destinos-catarinenses-unidos-para-atrair-turistas-europeus-no-meeting-brasil/,Composição institucional atual adotada: 10; registros históricos listam 11 ou 12.
Encantos do Sul,Armazém,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Balneário Rincão,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Braço do Norte,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Capivari de Baixo,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Cocal do Sul,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Criciúma,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Forquilhinha,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Grão-Pará,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Gravatal,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Içara,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Imaruí,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Imbituba,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Jaguaruna,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Laguna,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Lauro Müller,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Morro da Fumaça,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Nova Veneza,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Orleans,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Pedras Grandes,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
Encantos do Sul,Pescaria Brava,IGR/região turística,https://encantosdosul.org.br/institucional/; https://www.amrec.com.br/forum-regional-de-turismo-encantos-do-sul-contara-com-municipios-da-amrec/; https://abih-sc.com.br/1o-forum-regional-de-turismo-encantos-do-sul-fortalece-setor-e-promove-integracao-na-regiao/,Composição atual adotada: 30; recortes históricos listam 32 ou misturam municípios de Caminho dos Cânions.
